,classifier_name,dataset_name,accuracy
171,Attention-. 2nd-Order  rMA (old),Ham,0.940952380952381
172,Attention-. 2nd-Order  rMA (old),ItalyPowerDemand,0.933916423712342
173,Attention-. 2nd-Order  rMA (old),Lightning7,0.5726027397260275
174,Attention-. 2nd-Order  rMA (old),Meat,0.8700000000000001
175,Attention-. 2nd-Order  rMA (old),MedicalImages,0.4034210526315789
176,Attention-. 2nd-Order  rMA (old),MiddlePhalanxOutlineAgeGroup,0.7103896103896103
177,Attention-. 2nd-Order  rMA (old),MiddlePhalanxOutlineCorrect,0.6316151202749142
178,Attention-. 2nd-Order  rMA (old),MiddlePhalanxTW,0.6779220779220779
179,Attention-. 2nd-Order  rMA (old),MoteStrain,0.9012779552715655
180,Attention-. 2nd-Order  rMA (old),PhalangesOutlinesCorrect,0.793006993006993
181,Attention-. 2nd-Order  rMA (old),Plane,0.9580952380952381
182,Attention-. 2nd-Order  rMA (old),PowerCons,0.6833333333333333
183,Attention-. 2nd-Order  rMA (old),ProximalPhalanxOutlineAgeGroup,0.48097560975609754
184,Attention-. 2nd-Order  rMA (old),ProximalPhalanxOutlineCorrect,0.7298969072164949
185,Attention-. 2nd-Order  rMA (old),ProximalPhalanxTW,0.6897560975609756
186,Attention-. 2nd-Order  rMA (old),ShapeletSim,0.8333333333333334
187,Attention-. 2nd-Order  rMA (old),SmoothSubspace,0.9293333333333333
188,Attention-. 2nd-Order  rMA (old),SonyAIBORobotSurface2,0.9200419727177334
189,Attention-. 2nd-Order  rMA (old),Strawberry,0.5421621621621622
190,Attention-. 2nd-Order  rMA (old),SwedishLeaf,0.6931200000000001
191,Attention-. 2nd-Order  rMA (old),Symbols,0.9007035175879397
192,Attention-. 2nd-Order  rMA (old),SyntheticControl,0.9326666666666666
193,Attention-. 2nd-Order  rMA (old),ToeSegmentation1,0.8245614035087719
194,Attention-. 2nd-Order  rMA (old),ToeSegmentation2,0.8323076923076922
195,Attention-. 2nd-Order  rMA (old),Trace,0.9640000000000001
196,Attention-. 2nd-Order  rMA (old),TwoLeadECG,0.8532045654082528
197,Attention-. 2nd-Order  rMA (old),TwoPatterns,0.5376999999999998
198,Attention-. 2nd-Order  rMA (old),UMD,0.9069444444444443
199,Attention-. 2nd-Order  rMA (old),Wine,1.0
200,captum-IntegratedGradients 2nd-Order  rMA (old),ArrowHead,0.8799999999999999
201,captum-IntegratedGradients 2nd-Order  rMA (old),BME,0.7693333333333333
202,captum-IntegratedGradients 2nd-Order  rMA (old),Beef,0.9066666666666666
203,captum-IntegratedGradients 2nd-Order  rMA (old),CBF,0.8346666666666668
204,captum-IntegratedGradients 2nd-Order  rMA (old),Chinatown,0.8023323615160349
205,captum-IntegratedGradients 2nd-Order  rMA (old),Coffee,0.6642857142857143
206,captum-IntegratedGradients 2nd-Order  rMA (old),DiatomSizeReduction,0.9287581699346404
207,captum-IntegratedGradients 2nd-Order  rMA (old),DistalPhalanxOutlineAgeGroup,0.8230215827338128
208,captum-IntegratedGradients 2nd-Order  rMA (old),DistalPhalanxOutlineCorrect,0.6811594202898551
209,captum-IntegratedGradients 2nd-Order  rMA (old),DistalPhalanxTW,0.6791366906474819
210,captum-IntegratedGradients 2nd-Order  rMA (old),ECG200,0.8219999999999998
211,captum-IntegratedGradients 2nd-Order  rMA (old),ECG5000,0.7022666666666667
212,captum-IntegratedGradients 2nd-Order  rMA (old),ECGFiveDays,0.48083623693379796
213,captum-IntegratedGradients 2nd-Order  rMA (old),FaceAll,0.516094674556213
214,captum-IntegratedGradients 2nd-Order  rMA (old),FaceFour,0.7454545454545454
215,captum-IntegratedGradients 2nd-Order  rMA (old),FacesUCR,0.5982439024390244
216,captum-IntegratedGradients 2nd-Order  rMA (old),FreezerRegularTrain,0.6243508771929824
217,captum-IntegratedGradients 2nd-Order  rMA (old),GunPoint,0.7733333333333332
218,captum-IntegratedGradients 2nd-Order  rMA (old),GunPointAgeSpan,0.8291139240506329
219,captum-IntegratedGradients 2nd-Order  rMA (old),GunPointMaleVersusFemale,0.6215189873417721
220,captum-IntegratedGradients 2nd-Order  rMA (old),GunPointOldVersusYoung,0.7631746031746032
221,captum-IntegratedGradients 2nd-Order  rMA (old),Ham,0.76
222,captum-IntegratedGradients 2nd-Order  rMA (old),ItalyPowerDemand,0.8783284742468416
223,captum-IntegratedGradients 2nd-Order  rMA (old),Lightning7,0.3287671232876712
224,captum-IntegratedGradients 2nd-Order  rMA (old),Meat,0.5533333333333335
225,captum-IntegratedGradients 2nd-Order  rMA (old),MedicalImages,0.3823684210526316
226,captum-IntegratedGradients 2nd-Order  rMA (old),MiddlePhalanxOutlineAgeGroup,0.7480519480519481
227,captum-IntegratedGradients 2nd-Order  rMA (old),MiddlePhalanxOutlineCorrect,0.7601374570446735
228,captum-IntegratedGradients 2nd-Order  rMA (old),MiddlePhalanxTW,0.6090909090909091
229,captum-IntegratedGradients 2nd-Order  rMA (old),MoteStrain,0.8715654952076676
230,captum-IntegratedGradients 2nd-Order  rMA (old),PhalangesOutlinesCorrect,0.7557109557109557
231,captum-IntegratedGradients 2nd-Order  rMA (old),Plane,0.8723809523809523
232,captum-IntegratedGradients 2nd-Order  rMA (old),PowerCons,0.5933333333333334
233,captum-IntegratedGradients 2nd-Order  rMA (old),ProximalPhalanxOutlineAgeGroup,0.6878048780487804
234,captum-IntegratedGradients 2nd-Order  rMA (old),ProximalPhalanxOutlineCorrect,0.8604810996563573
235,captum-IntegratedGradients 2nd-Order  rMA (old),ProximalPhalanxTW,0.5453658536585365
236,captum-IntegratedGradients 2nd-Order  rMA (old),ShapeletSim,0.8333333333333334
237,captum-IntegratedGradients 2nd-Order  rMA (old),SmoothSubspace,0.7946666666666666
238,captum-IntegratedGradients 2nd-Order  rMA (old),SonyAIBORobotSurface2,0.899685204616999
